gene_id,feature_is_filtered,feature_name,feature_reference,feature_biotype,mean_expression,mean_log_expression
ENSG00000243485,TRUE,MIR1302-2HG,NCBITaxon:9606,gene,3.154972236244321e-5,2.186860110297657e-5
ENSG00000237613,TRUE,FAM138A,NCBITaxon:9606,gene,0,0
ENSG00000186092,TRUE,OR4F5,NCBITaxon:9606,gene,0,0
ENSG00000238009,FALSE,RP11-34P13.7,NCBITaxon:9606,gene,0.002208480565371025,0.0015217257876938542
ENSG00000239945,TRUE,RP11-34P13.8,NCBITaxon:9606,gene,1.5774861181221605e-4,1.0934300551488283e-4
ENSG00000239906,TRUE,RP11-34P13.14,NCBITaxon:9606,gene,0,0
ENSG00000241599,TRUE,RP11-34P13.9,NCBITaxon:9606,gene,0,0
ENSG00000236601,TRUE,RP4-669L17.2,NCBITaxon:9606,gene,6.309944472488642e-5,4.373720220595314e-5
ENSG00000284733,TRUE,OR4F29,NCBITaxon:9606,gene,0,0
ENSG00000235146,TRUE,RP5-857K21.2,NCBITaxon:9606,gene,3.154972236244321e-5,2.186860110297657e-5
ENSG00000284662,TRUE,OR4F16,NCBITaxon:9606,gene,0,0
ENSG00000229905,TRUE,RP11-206L10.4,NCBITaxon:9606,gene,9.464916708732963e-5,6.56058033089297e-5
ENSG00000237491,FALSE,LINC01409,NCBITaxon:9606,gene,0.04874432104997476,0.033085650707716324
ENSG00000177757,FALSE,FAM87B,NCBITaxon:9606,gene,0.0024608783442705705,0.0016966745965176667
ENSG00000225880,FALSE,LINC00115,NCBITaxon:9606,gene,0.026312468450277637,0.01776026653928971
ENSG00000230368,FALSE,FAM41C,NCBITaxon:9606,gene,0.03861686017163049,0.025899132447383337
ENSG00000272438,TRUE,RP11-54O7.16,NCBITaxon:9606,gene,9.464916708732963e-5,6.56058033089297e-5
ENSG00000230699,FALSE,RP11-54O7.1,NCBITaxon:9606,gene,0.0010095911155981827,6.997952352952497e-4
ENSG00000241180,TRUE,RP11-54O7.2,NCBITaxon:9606,gene,1.5774861181221605e-4,1.0934300551488283e-4
ENSG00000223764,FALSE,LINC02593,NCBITaxon:9606,gene,8.518425037859667e-4,5.813759402658612e-4
ENSG00000187634,FALSE,SAMD11,NCBITaxon:9606,gene,0.006656991418475517,0.0043213342602156715
ENSG00000188976,FALSE,NOC2L,NCBITaxon:9606,gene,0.21065749621403332,0.1309555265746216
ENSG00000187961,FALSE,KLHL17,NCBITaxon:9606,gene,0.023125946491670872,0.015787913282323353
ENSG00000187583,FALSE,PLEKHN1,NCBITaxon:9606,gene,0.01678445229681979,0.01137252763622946
